Wall time,Step,Value
1619117993.9030333,0,0.0
1619117996.5706964,1,0.0
1619117999.1490722,2,0.0
1619118001.71883,3,0.0
1619118004.4186692,4,0.0
1619118006.919816,5,0.0
1619118009.5274467,6,0.0
1619118012.1483228,7,0.0
1619118014.5966902,8,0.0
1619118017.1331706,9,0.0
1619118019.866944,10,0.0
1619118022.5425923,11,0.0
1619118025.1591723,12,0.0
1619118027.7964683,13,0.0
1619118030.4477415,14,0.0
1619118032.9455879,15,0.0
1619118035.5201523,16,0.0
1619118038.1323106,17,0.0
1619118040.748144,18,0.0
1619118043.245658,19,0.0
1619118045.8221884,20,0.0
1619118048.4233856,21,0.0
1619118051.0745509,22,0.0
1619118053.5646353,23,0.0
1619118056.1271768,24,0.0
1619118058.6893544,25,0.0
1619118061.143641,26,0.0
1619118063.6135554,27,0.0
1619118066.059647,28,0.0
1619118068.520096,29,0.0
1619118071.0071127,30,0.0
1619118073.4302056,31,0.0
1619118075.9056885,32,0.0
1619118078.380449,33,0.0
1619118080.9943438,34,0.0
1619118083.337341,35,0.0
1619118085.7968576,36,0.0
1619118088.2421045,37,0.0
1619118090.5895298,38,0.0
1619118093.0240092,39,0.0
1619118095.461906,40,0.0
1619118097.9396098,41,0.0
1619118100.2837794,42,0.0
1619118102.7203097,43,0.0
1619118105.1693895,44,0.0
1619118107.6603935,45,0.0
1619118110.15154,46,0.0
1619118112.5150898,47,0.0
1619118114.9745598,48,0.0
1619118117.4392846,49,0.0
1619118119.7937486,50,0.0
1619118122.223332,51,0.0
1619118124.6810496,52,0.0
1619118127.1468904,53,0.0
1619118129.5107102,54,0.0
1619118131.9305525,55,0.0
1619118134.4579136,56,0.0
1619118136.9145496,57,0.0
1619118139.356048,58,0.0
1619118141.698024,59,0.0
1619118144.131503,60,0.0
1619118146.6230698,61,0.0
1619118148.95847,62,0.0
1619118151.3892488,63,0.0
1619118153.835164,64,0.0
1619118156.2688537,65,0.0
1619118158.6088607,66,0.0
1619118161.038916,67,0.0
1619118163.495183,68,0.0
1619118165.9332175,69,0.0
1619118168.3835218,70,0.0
1619118170.7149582,71,0.0
1619118173.1377409,72,0.0
1619118175.5695524,73,0.0
1619118177.9215934,74,0.0
1619118180.3374932,75,0.0
1619118182.7640781,76,0.0
1619118185.2013054,77,0.0
1619118187.534715,78,0.0
1619118189.9610307,79,0.0
1619118192.4481719,80,0.0
1619118194.9202046,81,0.0
1619118197.376862,82,0.0
1619118199.7234418,83,0.0
1619118202.16455,84,0.0
1619118204.6568906,85,0.0
1619118206.9759703,86,0.0
1619118209.374972,87,0.0
1619118211.8005214,88,0.0
1619118214.2090561,89,0.0
1619118216.5906768,90,0.0
1619118218.9837158,91,0.0
1619118221.3843036,92,0.0
1619118223.8171165,93,0.0
1619118226.2486806,94,0.0
1619118228.59144,95,0.0
1619118231.024335,96,0.0
1619118233.4503105,97,0.0
1619118235.7894766,98,0.0
1619118238.1732993,99,0.0
